*r,rr,multiplier
p111,p123,3.082
p111,p124,2.764
p111,p125,3.023
p111,p126,3.005
p111,p127,2.34
p111,p128,2.648
p111,p129,2.317
p111,p130,2.673
p111,p131,2.698
p111,p132,2.47
p111,p133,2.603
p111,p134,2.782
p112,p1,1.242
p112,p2,1.226
p112,p3,1.219
p112,p4,1.215
p112,p5,1.232
p112,p6,1.243
p112,p7,1.197
p112,p8,1.243
p112,p9,1.397
p112,p10,1.337
p112,p11,1.226
p112,p12,1.242
p112,p13,1.218
p112,p14,1.225
p112,p15,1.198
p112,p16,1.204
p112,p17,1.169
p112,p18,1.136
p112,p19,1.124
p112,p20,1.129
p112,p21,1.166
p112,p22,1.16
p112,p23,1.147
p112,p24,1.175
p112,p25,1.208
p112,p26,1.206
p112,p27,1.219
p112,p28,1.205
p112,p29,1.19
p112,p30,1.15
p112,p31,1.163
p112,p32,1.144
p112,p33,1.177
p112,p34,1.172
p112,p35,1.128
p112,p36,1.148
p112,p37,1.17
p112,p38,1.192
p112,p39,1.167
p112,p40,1.224
p112,p41,1.251
p112,p42,1.231
p112,p43,1.278
p112,p44,1.196
p112,p45,1.226
p112,p46,1.321
p112,p47,1.128
p112,p48,1.141
p112,p49,1.153
p112,p50,1.19
p112,p51,1.235
p112,p52,1.165
p112,p53,1.197
p112,p54,1.245
p112,p55,1.277
p112,p56,1.286
p112,p57,1.247
p112,p58,1.21
p112,p59,1.136
p112,p60,1.134
p112,p61,1.147
p112,p62,1.132
p112,p63,1.303
p112,p64,1.334
p112,p65,1.347
p112,p66,1.212
p112,p67,1.243
p112,p68,1.226
p112,p69,1.272
p112,p70,1.272
p112,p71,1.301
p112,p72,1.352
p112,p73,1.314
p112,p74,1.281
p112,p75,1.325
p112,p76,1.333
p112,p77,1.327
p112,p78,1.381
p112,p79,1.405
p112,p80,1.508
p112,p81,1.345
p112,p82,1.417
p112,p83,1.512
p112,p84,1.358
p112,p85,1.271
p112,p86,1.219
p112,p87,1.225
p112,p88,1.35
p112,p89,1.657
p112,p90,1.297
p112,p91,1.383
p112,p92,1.579
p112,p93,1.613
p112,p94,2.015
p112,p95,2.193
p112,p96,2.053
p112,p97,2.347
p112,p98,2.452
p112,p99,2.348
p112,p100,3.357
p112,p101,1.844
p112,p102,1.806
p112,p103,1.741
p112,p104,1.639
p112,p105,1.958
p112,p106,1.839
p112,p107,1.519
p112,p108,1.551
p112,p109,2.151
p112,p110,2.804
p112,p111,2.162
p112,p113,2.268
p112,p114,2.264
p112,p115,2.86
p112,p116,2.671
p112,p117,2.477
p112,p118,2.703
p112,p119,2.851
p112,p120,3.094
p112,p121,3.027
p112,p122,2.902
p112,p123,3.029
p112,p124,2.712
p112,p125,2.928
p112,p126,2.871
p112,p127,2.262
p112,p128,2.988
p112,p129,2.256
p112,p130,2.549
p112,p131,2.571
p112,p132,2.381
p112,p133,2.495
p112,p134,2.655
p113,p1,1.222
p113,p2,1.204
p113,p3,1.195
p113,p4,1.192
p113,p5,1.212
p113,p6,1.224
p113,p7,1.172
p113,p8,1.224
p113,p9,1.383
p113,p10,1.325
p113,p11,1.211
p113,p12,1.222
p113,p13,1.2
p113,p14,1.202
p113,p15,1.173
p113,p16,1.175
p113,p17,1.141
p113,p18,1.104
p113,p19,1.087
p113,p20,1.095
p113,p21,1.13
p113,p22,1.122
p113,p23,1.107
p113,p24,1.133
p113,p25,1.179
p113,p26,1.175
p113,p27,1.2
p113,p28,1.185
p113,p29,1.165
p113,p30,1.127
p113,p31,1.135
p113,p32,1.1
p113,p33,1.141
p113,p34,1.137
p113,p35,1.089
p113,p36,1.102
p113,p37,1.118
p113,p38,1.131
p113,p39,1.122
p113,p40,1.169
p113,p41,1.186
p113,p42,1.175
p113,p43,1.211
p113,p44,1.134
p113,p45,1.155
p113,p46,1.237
p113,p47,1.096
p113,p48,1.107
p113,p49,1.115
p113,p50,1.148
p113,p51,1.188
p113,p52,1.125
p113,p53,1.15
p113,p54,1.192
p113,p55,1.231
p113,p56,1.234
p113,p57,1.188
p113,p58,1.154
p113,p59,1.109
p113,p60,1.102
p113,p61,1.12
p113,p62,1.101
p113,p63,1.252
p113,p64,1.294
p113,p65,1.31
p113,p66,1.16
p113,p67,1.196
p113,p68,1.157
p113,p69,1.189
p113,p70,1.194
p113,p71,1.229
p113,p72,1.278
p113,p73,1.248
p113,p74,1.212
p113,p75,1.236
p113,p76,1.242
p113,p77,1.235
p113,p78,1.281
p113,p79,1.297
p113,p80,1.383
p113,p81,1.244
p113,p82,1.307
p113,p83,1.431
p113,p84,1.258
p113,p85,1.192
p113,p86,1.152
p113,p87,1.156
p113,p88,1.279
p113,p89,1.627
p113,p90,1.247
p113,p91,1.34
p113,p92,1.517
p113,p93,1.543
p113,p94,1.73
p113,p95,2.251
p113,p96,2.086
p113,p97,2.416
p113,p98,2.268
p113,p99,2.202
p113,p100,3.122
p113,p101,1.674
p113,p102,1.665
p113,p103,1.664
p113,p104,1.41
p113,p105,1.893
p113,p106,1.828
p113,p107,1.396
p113,p108,1.449
p113,p109,2.202
p113,p110,2.616
p113,p111,2.019
p113,p112,2.268
p113,p114,2.637
p113,p115,2.621
p113,p116,2.415
p113,p117,2.494
p113,p118,2.43
p113,p119,2.577
p113,p120,2.905
p113,p121,2.854
p113,p122,2.788
p113,p123,2.88
p113,p124,2.637
p113,p125,2.81
p113,p126,2.764
p113,p127,2.216
p113,p128,2.886
p113,p129,2.217
p113,p130,2.49
p113,p131,2.512
p113,p132,2.334
p113,p133,2.442
p113,p134,2.597
p114,p1,1.239
p114,p2,1.222
p114,p3,1.215
p114,p4,1.211
p114,p5,1.229
p114,p6,1.239
p114,p7,1.192
p114,p8,1.238
p114,p9,1.396
p114,p10,1.348
p114,p11,1.232
p114,p12,1.237
p114,p13,1.224
p114,p14,1.221
p114,p15,1.194
p114,p16,1.198
p114,p17,1.163
p114,p18,1.129
p114,p19,1.116
p114,p20,1.122
p114,p21,1.158
p114,p22,1.152
p114,p23,1.139
p114,p24,1.162
p114,p25,1.199
p114,p26,1.197
p114,p27,1.226
p114,p28,1.212
p114,p29,1.196
p114,p30,1.153
p114,p31,1.169
p114,p32,1.135
p114,p33,1.183
p114,p34,1.174
p114,p35,1.119
p114,p36,1.138
p114,p37,1.16
p114,p38,1.18
p114,p39,1.157
p114,p40,1.21
p114,p41,1.231
p114,p42,1.221
p114,p43,1.222
p114,p44,1.184
p114,p45,1.214
p114,p46,1.304
p114,p47,1.131
p114,p48,1.145
p114,p49,1.16
p114,p50,1.218
p114,p51,1.246
p114,p52,1.174
p114,p53,1.211
p114,p54,1.273
p114,p55,1.307
p114,p56,1.306
p114,p57,1.247
p114,p58,1.205
p114,p59,1.139
p114,p60,1.137
p114,p61,1.152
p114,p62,1.135
p114,p63,1.313
p114,p64,1.342
p114,p65,1.355
p114,p66,1.208
p114,p67,1.242
p114,p68,1.214
p114,p69,1.261
p114,p70,1.257
p114,p71,1.319
p114,p72,1.402
p114,p73,1.343
p114,p74,1.267
p114,p75,1.308
p114,p76,1.316
p114,p77,1.309
p114,p78,1.353
p114,p79,1.388
p114,p80,1.498
p114,p81,1.335
p114,p82,1.409
p114,p83,1.577
p114,p84,1.391
p114,p85,1.274
p114,p86,1.215
p114,p87,1.221
p114,p88,1.367
p114,p89,1.728
p114,p90,1.302
p114,p91,1.398
p114,p92,1.668
p114,p93,1.743
p114,p94,2.096
p114,p95,2.308
p114,p96,2.11
p114,p97,2.296
p114,p98,2.26
p114,p99,2.153
p114,p100,3.046
p114,p101,1.868
p114,p102,1.823
p114,p103,1.728
p114,p104,1.514
p114,p105,2.02
p114,p106,2.125
p114,p107,1.665
p114,p108,1.671
p114,p109,2.81
p114,p110,2.56
p114,p111,2.057
p114,p112,2.264
p114,p113,2.637
p114,p115,2.561
p114,p116,2.429
p114,p117,2.61
p114,p118,2.417
p114,p119,2.611
p114,p120,2.846
p114,p121,2.799
p114,p122,2.75
p114,p123,2.832
p114,p124,2.612
p114,p125,2.77
p114,p126,2.729
p114,p127,2.22
p114,p128,2.851
p114,p129,2.221
p114,p130,2.48
p114,p131,2.501
p114,p132,2.331
p114,p133,2.434
p114,p134,2.582
p115,p1,1.323
p115,p2,1.311
p115,p3,1.311
p115,p4,1.304
p115,p5,1.313
p115,p6,1.325
p115,p7,1.295
p115,p8,1.325
p115,p9,1.466
p115,p10,1.398
p115,p11,1.295
p115,p12,1.329
p115,p13,1.303
p115,p14,1.318
p115,p15,1.299
p115,p16,1.318
p115,p17,1.276
p115,p18,1.253
p115,p19,1.259
p115,p20,1.258
p115,p21,1.296
p115,p22,1.298
p115,p23,1.293
p115,p24,1.319
p115,p25,1.319
p115,p26,1.317
p115,p27,1.3
p115,p28,1.29
p115,p29,1.289
p115,p30,1.242
p115,p31,1.274
p115,p32,1.304
p115,p33,1.303
p115,p34,1.295
p115,p35,1.269
p115,p36,1.312
p115,p37,1.353
p115,p38,1.398
p115,p39,1.328
p115,p40,1.387
p115,p41,1.441
p115,p42,1.397
p115,p43,1.479
p115,p44,1.405
p115,p45,1.455
p115,p46,1.553
p115,p47,1.247
p115,p48,1.268
p115,p49,1.293
p115,p50,1.342
p115,p51,1.368
p115,p52,1.312
p115,p53,1.36
p115,p54,1.429
p115,p55,1.541
p115,p56,1.503
p115,p57,1.452
p115,p58,1.404
p115,p59,1.243
p115,p60,1.254
p115,p61,1.257
p115,p62,1.249
p115,p63,1.491
p115,p64,1.489
p115,p65,1.491
p115,p66,1.398
p115,p67,1.413
p115,p68,1.456
p115,p69,1.53
p115,p70,1.504
p115,p71,1.498
p115,p72,1.688
p115,p73,1.601
p115,p74,1.482
p115,p75,1.564
p115,p76,1.575
p115,p77,1.562
p115,p78,1.639
p115,p79,1.669
p115,p80,1.79
p115,p81,1.614
p115,p82,1.628
p115,p83,1.881
p115,p84,1.662
p115,p85,1.522
p115,p86,1.444
p115,p87,1.452
p115,p88,1.585
p115,p89,1.788
p115,p90,1.477
p115,p91,1.547
p115,p92,1.821
p115,p93,1.91
p115,p94,2.209
p115,p95,2.36
p115,p96,2.513
p115,p97,2.789
p115,p98,2.955
p115,p99,2.794
p115,p100,3.41
p115,p101,1.985
p115,p102,2.112
p115,p103,2.267
p115,p104,2.037
p115,p105,2.35
p115,p106,2.172
p115,p107,1.84
p115,p108,1.857
p115,p109,2.4
p115,p110,2.845
p115,p111,3.266
p115,p112,2.86
p115,p113,2.621
p115,p114,2.561
p115,p116,3.613
p115,p117,3.268
p115,p118,3.242
p115,p119,3.703
p115,p120,3.756
p115,p121,3.574
p115,p122,3.123
p115,p123,3.417
p115,p124,2.79
p115,p125,3.167
p115,p126,3.062
p115,p127,2.455
p115,p128,3.183
p115,p129,2.412
p115,p130,2.748
p115,p131,2.77
p115,p132,3.213
p115,p133,3.21
p115,p134,2.842
p116,p1,1.296
p116,p2,1.283
p116,p3,1.281
p116,p4,1.275
p116,p5,1.286
p116,p6,1.297
p116,p7,1.262
p116,p8,1.297
p116,p9,1.443
p116,p10,1.395
p116,p11,1.287
p116,p12,1.3
p116,p13,1.286
p116,p14,1.288
p116,p15,1.266
p116,p16,1.28
p116,p17,1.241
p116,p18,1.215
p116,p19,1.216
p116,p20,1.217
p116,p21,1.256
p116,p22,1.254
p116,p23,1.247
p116,p24,1.28
p116,p25,1.285
p116,p26,1.289
p116,p27,1.29
p116,p28,1.279
p116,p29,1.277
p116,p30,1.227
p116,p31,1.259
p116,p32,1.254
p116,p33,1.285
p116,p34,1.281
p116,p35,1.225
p116,p36,1.261
p116,p37,1.296
p116,p38,1.335
p116,p39,1.276
p116,p40,1.362
p116,p41,1.405
p116,p42,1.347
p116,p43,1.424
p116,p44,1.342
p116,p45,1.386
p116,p46,1.492
p116,p47,1.229
p116,p48,1.25
p116,p49,1.277
p116,p50,1.329
p116,p51,1.386
p116,p52,1.296
p116,p53,1.349
p116,p54,1.421
p116,p55,1.457
p116,p56,1.447
p116,p57,1.368
p116,p58,1.322
p116,p59,1.226
p116,p60,1.236
p116,p61,1.241
p116,p62,1.231
p116,p63,1.409
p116,p64,1.424
p116,p65,1.43
p116,p66,1.319
p116,p67,1.341
p116,p68,1.384
p116,p69,1.456
p116,p70,1.447
p116,p71,1.5
p116,p72,1.591
p116,p73,1.521
p116,p74,1.426
p116,p75,1.501
p116,p76,1.512
p116,p77,1.496
p116,p78,1.575
p116,p79,1.603
p116,p80,1.726
p116,p81,1.555
p116,p82,1.641
p116,p83,1.784
p116,p84,1.542
p116,p85,1.423
p116,p86,1.352
p116,p87,1.359
p116,p88,1.493
p116,p89,2.055
p116,p90,1.402
p116,p91,1.479
p116,p92,2.205
p116,p93,2.271
p116,p94,2.164
p116,p95,2.775
p116,p96,2.506
p116,p97,2.936
p116,p98,2.93
p116,p99,2.653
p116,p100,4.501
p116,p101,1.929
p116,p102,1.878
p116,p103,1.978
p116,p104,1.856
p116,p105,2.124
p116,p106,2.074
p116,p107,1.738
p116,p108,1.891
p116,p109,2.439
p116,p110,3.353
p116,p111,2.564
p116,p112,2.671
p116,p113,2.415
p116,p114,2.429
p116,p115,3.613
p116,p117,3.528
p116,p118,3.453
p116,p119,3.486
p116,p120,3.801
p116,p121,3.688
p116,p122,3.312
p116,p123,4.171
p116,p124,3.002
p116,p125,3.347
p116,p126,3.258
p116,p127,2.33
p116,p128,3.317
p116,p129,2.314
p116,p130,2.594
p116,p131,2.615
p116,p132,3.338
p116,p133,2.541
p116,p134,2.692
p117,p1,1.322
p117,p2,1.311
p117,p3,1.311
p117,p4,1.303
p117,p5,1.312
p117,p6,1.324
p117,p7,1.294
p117,p8,1.324
p117,p9,1.465
p117,p10,1.428
p117,p11,1.319
p117,p12,1.328
p117,p13,1.323
p117,p14,1.318
p117,p15,1.298
p117,p16,1.316
p117,p17,1.275
p117,p18,1.253
p117,p19,1.258
p117,p20,1.258
p117,p21,1.298
p117,p22,1.297
p117,p23,1.292
p117,p24,1.328
p117,p25,1.321
p117,p26,1.328
p117,p27,1.328
p117,p28,1.319
p117,p29,1.322
p117,p30,1.268
p117,p31,1.308
p117,p32,1.303
p117,p33,1.345
p117,p34,1.341
p117,p35,1.269
p117,p36,1.312
p117,p37,1.352
p117,p38,1.397
p117,p39,1.326
p117,p40,1.422
p117,p41,1.471
p117,p42,1.402
p117,p43,1.489
p117,p44,1.405
p117,p45,1.453
p117,p46,1.565
p117,p47,1.281
p117,p48,1.306
p117,p49,1.339
p117,p50,1.398
p117,p51,1.462
p117,p52,1.362
p117,p53,1.425
p117,p54,1.521
p117,p55,1.554
p117,p56,1.526
p117,p57,1.46
p117,p58,1.407
p117,p59,1.273
p117,p60,1.288
p117,p61,1.289
p117,p62,1.282
p117,p63,1.5
p117,p64,1.498
p117,p65,1.499
p117,p66,1.4
p117,p67,1.416
p117,p68,1.451
p117,p69,1.53
p117,p70,1.518
p117,p71,1.618
p117,p72,1.704
p117,p73,1.618
p117,p74,1.491
p117,p75,1.576
p117,p76,1.587
p117,p77,1.57
p117,p78,1.653
p117,p79,1.683
p117,p80,1.808
p117,p81,1.635
p117,p82,1.724
p117,p83,1.916
p117,p84,1.699
p117,p85,1.541
p117,p86,1.452
p117,p87,1.461
p117,p88,1.612
p117,p89,2.411
p117,p90,2.198
p117,p91,2.21
p117,p92,2.436
p117,p93,2.55
p117,p94,2.542
p117,p95,2.578
p117,p96,2.31
p117,p97,2.743
p117,p98,2.745
p117,p99,2.457
p117,p100,2.932
p117,p101,2.037
p117,p102,1.967
p117,p103,2.01
p117,p104,1.931
p117,p105,2.173
p117,p106,2.22
p117,p107,1.966
p117,p108,1.969
p117,p109,2.98
p117,p110,4.839
p117,p111,2.257
p117,p112,2.477
p117,p113,2.494
p117,p114,2.61
p117,p115,3.268
p117,p116,3.528
p117,p118,3.417
p117,p119,3.817
p117,p120,2.813
p117,p121,2.84
p117,p122,2.839
p117,p123,2.902
p117,p124,2.608
p117,p125,2.776
p117,p126,2.744
p117,p127,2.458
p117,p128,2.868
p117,p129,2.425
p117,p130,2.676
p117,p131,2.694
p117,p132,2.863
p117,p133,2.626
p117,p134,2.757
p118,p1,1.32
p118,p2,1.31
p118,p3,1.31
p118,p4,1.302
p118,p5,1.305
p118,p6,1.315
p118,p7,1.287
p118,p8,1.315
p118,p9,1.448
p118,p10,1.435
p118,p11,1.337
p118,p12,1.318
p118,p13,1.334
p118,p14,1.316
p118,p15,1.291
p118,p16,1.306
p118,p17,1.276
p118,p18,1.258
p118,p19,1.265
p118,p20,1.261
p118,p21,1.293
p118,p22,1.295
p118,p23,1.292
p118,p24,1.31
p118,p25,1.308
p118,p26,1.313
p118,p27,1.34
p118,p28,1.34
p118,p29,1.336
p118,p30,1.29
p118,p31,1.336
p118,p32,1.302
p118,p33,1.334
p118,p34,1.345
p118,p35,1.273
p118,p36,1.312
p118,p37,1.337
p118,p38,1.382
p118,p39,1.311
p118,p40,1.391
p118,p41,1.43
p118,p42,1.333
p118,p43,1.403
p118,p44,1.39
p118,p45,1.424
p118,p46,1.457
p118,p47,1.309
p118,p48,1.335
p118,p49,1.376
p118,p50,1.436
p118,p51,1.474
p118,p52,1.38
p118,p53,1.471
p118,p54,1.503
p118,p55,1.562
p118,p56,1.518
p118,p57,1.455
p118,p58,1.648
p118,p59,1.3
p118,p60,1.316
p118,p61,1.314
p118,p62,1.309
p118,p63,1.48
p118,p64,1.57
p118,p65,1.573
p118,p66,1.53
p118,p67,1.539
p118,p68,1.419
p118,p69,1.487
p118,p70,1.469
p118,p71,1.526
p118,p72,1.658
p118,p73,1.629
p118,p74,1.409
p118,p75,1.455
p118,p76,1.461
p118,p77,1.451
p118,p78,1.487
p118,p79,1.511
p118,p80,1.569
p118,p81,1.556
p118,p82,1.611
p118,p83,1.678
p118,p84,1.646
p118,p85,1.532
p118,p86,1.625
p118,p87,1.695
p118,p88,1.836
p118,p89,1.833
p118,p90,1.834
p118,p91,1.849
p118,p92,1.926
p118,p93,2.004
p118,p94,1.91
p118,p95,1.948
p118,p96,1.798
p118,p97,1.957
p118,p98,1.979
p118,p99,1.915
p118,p100,2.519
p118,p101,1.742
p118,p102,1.737
p118,p103,1.511
p118,p104,1.575
p118,p105,1.685
p118,p106,1.757
p118,p107,1.866
p118,p108,1.915
p118,p109,2.275
p118,p110,2.369
p118,p111,2.495
p118,p112,2.703
p118,p113,2.43
p118,p114,2.417
p118,p115,3.242
p118,p116,3.453
p118,p117,3.417
p118,p119,2.615
p118,p120,2.437
p118,p121,2.45
p118,p122,2.594
p118,p123,2.663
p118,p124,2.351
p118,p125,2.505
p118,p126,2.484
p118,p127,2.437
p118,p128,2.697
p118,p129,2.415
p118,p130,2.78
p118,p131,2.758
p118,p132,2.699
p118,p133,2.783
p118,p134,2.792
p119,p1,1.406
p119,p2,1.399
p119,p3,1.405
p119,p4,1.394
p119,p5,1.396
p119,p6,1.409
p119,p7,1.393
p119,p8,1.41
p119,p9,1.541
p119,p10,1.478
p119,p11,1.378
p119,p12,1.419
p119,p13,1.395
p119,p14,1.413
p119,p15,1.399
p119,p16,1.428
p119,p17,1.381
p119,p18,1.368
p119,p19,1.387
p119,p20,1.382
p119,p21,1.422
p119,p22,1.429
p119,p23,1.43
p119,p24,1.461
p119,p25,1.431
p119,p26,1.436
p119,p27,1.395
p119,p28,1.388
p119,p29,1.401
p119,p30,1.343
p119,p31,1.393
p119,p32,1.451
p119,p33,1.441
p119,p34,1.432
p119,p35,1.403
p119,p36,1.464
p119,p37,1.519
p119,p38,1.58
p119,p39,1.476
p119,p40,1.561
p119,p41,1.63
p119,p42,1.561
p119,p43,1.67
p119,p44,1.589
p119,p45,1.652
p119,p46,1.767
p119,p47,1.372
p119,p48,1.4
p119,p49,1.439
p119,p50,1.5
p119,p51,1.536
p119,p52,1.464
p119,p53,1.53
p119,p54,1.621
p119,p55,1.728
p119,p56,1.677
p119,p57,1.605
p119,p58,1.549
p119,p59,1.357
p119,p60,1.38
p119,p61,1.374
p119,p62,1.372
p119,p63,1.631
p119,p64,1.613
p119,p65,1.608
p119,p66,1.538
p119,p67,1.544
p119,p68,1.651
p119,p69,1.745
p119,p70,1.711
p119,p71,1.71
p119,p72,1.904
p119,p73,1.803
p119,p74,1.674
p119,p75,1.783
p119,p76,1.797
p119,p77,1.78
p119,p78,1.871
p119,p79,1.907
p119,p80,2.04
p119,p81,1.847
p119,p82,1.866
p119,p83,2.109
p119,p84,1.86
p119,p85,1.7
p119,p86,1.606
p119,p87,1.616
p119,p88,1.757
p119,p89,2.145
p119,p90,1.616
p119,p91,2.102
p119,p92,2.004
p119,p93,2.1
p119,p94,2.24
p119,p95,2.34
p119,p96,2.176
p119,p97,2.395
p119,p98,2.448
p119,p99,2.514
p119,p100,2.784
p119,p101,1.98
p119,p102,1.943
p119,p103,2.484
p119,p104,2.283
p119,p105,2.537
p119,p106,2.373
p119,p107,2.055
p119,p108,2.068
p119,p109,2.255
p119,p110,2.531
p119,p111,3.064
p119,p112,2.851
p119,p113,2.578
p119,p114,2.611
p119,p115,3.703
p119,p116,3.486
p119,p117,3.817
p119,p118,2.615
p119,p120,3.769
p119,p121,3.354
p119,p122,3.048
p119,p123,3.095
p119,p124,2.448
p119,p125,2.776
p119,p126,2.965
p119,p127,2.936
p119,p128,3.216
p119,p129,2.568
p119,p130,3.037
p119,p131,3.174
p119,p132,3.27
p119,p133,3.251
p119,p134,3.108
p120,p1,1.458
p120,p2,1.453
p120,p3,1.463
p120,p4,1.449
p120,p5,1.447
p120,p6,1.461
p120,p7,1.452
p120,p8,1.462
p120,p9,1.589
p120,p10,1.567
p120,p11,1.462
p120,p12,1.473
p120,p13,1.451
p120,p14,1.471
p120,p15,1.46
p120,p16,1.495
p120,p17,1.444
p120,p18,1.435
p120,p19,1.462
p120,p20,1.455
p120,p21,1.498
p120,p22,1.508
p120,p23,1.511
p120,p24,1.546
p120,p25,1.498
p120,p26,1.507
p120,p27,1.491
p120,p28,1.487
p120,p29,1.514
p120,p30,1.442
p120,p31,1.514
p120,p32,1.539
p120,p33,1.523
p120,p34,1.513
p120,p35,1.482
p120,p36,1.554
p120,p37,1.617
p120,p38,1.688
p120,p39,1.565
p120,p40,1.665
p120,p41,1.744
p120,p42,1.66
p120,p43,1.787
p120,p44,1.699
p120,p45,1.771
p120,p46,1.899
p120,p47,1.497
p120,p48,1.534
p120,p49,1.589
p120,p50,1.67
p120,p51,1.751
p120,p52,1.623
p120,p53,1.714
p120,p54,1.843
p120,p55,1.867
p120,p56,1.834
p120,p57,1.721
p120,p58,1.817
p120,p59,1.47
p120,p60,1.507
p120,p61,1.491
p120,p62,1.495
p120,p63,1.734
p120,p64,1.719
p120,p65,1.715
p120,p66,1.706
p120,p67,1.703
p120,p68,1.769
p120,p69,1.877
p120,p70,1.838
p120,p71,1.97
p120,p72,2.072
p120,p73,1.964
p120,p74,1.791
p120,p75,1.919
p120,p76,1.934
p120,p77,1.914
p120,p78,2.017
p120,p79,2.057
p120,p80,2.205
p120,p81,1.992
p120,p82,2.189
p120,p83,2.314
p120,p84,2.022
p120,p85,1.841
p120,p86,1.815
p120,p87,1.879
p120,p88,2.017
p120,p89,2.031
p120,p90,1.994
p120,p91,2.008
p120,p92,2.113
p120,p93,2.169
p120,p94,2.12
p120,p95,2.201
p120,p96,2.036
p120,p97,2.156
p120,p98,2.276
p120,p99,2.352
p120,p100,2.321
p120,p101,1.881
p120,p102,1.856
p120,p103,2.678
p120,p104,2.467
p120,p105,2.769
p120,p106,2.603
p120,p107,2.271
p120,p108,2.101
p120,p109,2.336
p120,p110,2.402
p120,p111,3.175
p120,p112,3.094
p120,p113,2.905
p120,p114,2.846
p120,p115,3.756
p120,p116,3.801
p120,p117,2.813
p120,p118,2.437
p120,p119,3.769
p120,p121,2.274
p120,p122,2.531
p120,p123,2.79
p120,p124,2.265
p120,p125,2.587
p120,p126,2.481
p120,p127,2.447
p120,p128,2.886
p120,p129,2.41
p120,p130,2.986
p120,p131,2.957
p120,p132,2.947
p120,p133,3.017
p120,p134,2.96
p121,p1,1.455
p121,p2,1.45
p121,p3,1.46
p121,p4,1.447
p121,p5,1.444
p121,p6,1.458
p121,p7,1.449
p121,p8,1.459
p121,p9,1.586
p121,p10,1.563
p121,p11,1.459
p121,p12,1.47
p121,p13,1.449
p121,p14,1.468
p121,p15,1.457
p121,p16,1.492
p121,p17,1.441
p121,p18,1.432
p121,p19,1.458
p121,p20,1.451
p121,p21,1.494
p121,p22,1.504
p121,p23,1.507
p121,p24,1.541
p121,p25,1.495
p121,p26,1.503
p121,p27,1.488
p121,p28,1.484
p121,p29,1.511
p121,p30,1.439
p121,p31,1.51
p121,p32,1.534
p121,p33,1.519
p121,p34,1.509
p121,p35,1.477
p121,p36,1.549
p121,p37,1.611
p121,p38,1.681
p121,p39,1.559
p121,p40,1.657
p121,p41,1.735
p121,p42,1.653
p121,p43,1.777
p121,p44,1.691
p121,p45,1.761
p121,p46,1.887
p121,p47,1.493
p121,p48,1.53
p121,p49,1.584
p121,p50,1.663
p121,p51,1.743
p121,p52,1.617
p121,p53,1.706
p121,p54,1.832
p121,p55,1.856
p121,p56,1.713
p121,p57,1.637
p121,p58,1.809
p121,p59,1.466
p121,p60,1.503
p121,p61,1.488
p121,p62,1.491
p121,p63,1.646
p121,p64,1.711
p121,p65,1.708
p121,p66,1.697
p121,p67,1.694
p121,p68,1.759
p121,p69,1.865
p121,p70,1.826
p121,p71,1.956
p121,p72,2.055
p121,p73,1.951
p121,p74,1.781
p121,p75,1.906
p121,p76,1.92
p121,p77,1.901
p121,p78,2.001
p121,p79,2.04
p121,p80,2.182
p121,p81,1.976
p121,p82,2.169
p121,p83,2.289
p121,p84,1.857
p121,p85,1.735
p121,p86,1.806
p121,p87,1.87
p121,p88,2.01
p121,p89,2.024
p121,p90,1.988
p121,p91,1.906
p121,p92,2.108
p121,p93,2.165
p121,p94,2.114
p121,p95,2.197
p121,p96,2.038
p121,p97,2.165
p121,p98,2.297
p121,p99,2.38
p121,p100,2.425
p121,p101,1.878
p121,p102,1.853
p121,p103,2.636
p121,p104,2.435
p121,p105,2.725
p121,p106,2.567
p121,p107,2.055
p121,p108,2.095
p121,p109,2.337
p121,p110,2.408
p121,p111,3.162
p121,p112,3.027
p121,p113,2.854
p121,p114,2.799
p121,p115,3.574
p121,p116,3.688
p121,p117,2.84
p121,p118,2.45
p121,p119,3.354
p121,p120,2.274
p121,p122,2.635
p121,p123,3.058
p121,p124,2.293
p121,p125,2.632
p121,p126,2.576
p121,p127,2.429
p121,p128,2.935
p121,p129,2.399
p121,p130,2.946
p121,p131,2.918
p121,p132,2.89
p121,p133,2.971
p121,p134,2.929
p122,p1,1.523
p122,p2,1.521
p122,p3,1.534
p122,p4,1.519
p122,p5,1.511
p122,p6,1.526
p122,p7,1.527
p122,p8,1.527
p122,p9,1.646
p122,p10,1.591
p122,p11,1.493
p122,p12,1.542
p122,p13,1.523
p122,p14,1.543
p122,p15,1.535
p122,p16,1.577
p122,p17,1.523
p122,p18,1.52
p122,p19,1.555
p122,p20,1.545
p122,p21,1.589
p122,p22,1.601
p122,p23,1.608
p122,p24,1.644
p122,p25,1.58
p122,p26,1.593
p122,p27,1.524
p122,p28,1.522
p122,p29,1.55
p122,p30,1.48
p122,p31,1.552
p122,p32,1.64
p122,p33,1.62
p122,p34,1.609
p122,p35,1.577
p122,p36,1.657
p122,p37,1.725
p122,p38,1.8
p122,p39,1.665
p122,p40,1.774
p122,p41,1.856
p122,p42,1.765
p122,p43,1.898
p122,p44,1.811
p122,p45,1.885
p122,p46,2.011
p122,p47,1.538
p122,p48,1.574
p122,p49,1.626
p122,p50,1.699
p122,p51,1.745
p122,p52,1.657
p122,p53,1.739
p122,p54,1.85
p122,p55,1.951
p122,p56,1.918
