wst,r,t,Value
fsu,p110,2016,0.9615552164854309
fsu,p110,2018,0.9666239287162284
fsu,p110,2020,0.9356193522541068
fsu,p110,2022,0.9467556727341704
fsu,p110,2024,0.9414610138535168
fsu,p110,2026,0.9336580935415566
fsu,p110,2028,0.9321274348377248
fsu,p110,2030,0.9322411140745496
fsu,p110,2032,0.9559501286796872
fsu,p110,2034,1.0067360614207501
fsu,p110,2036,1.025068487106838
fsu,p110,2038,1.0108148516908408
fsu,p110,2040,1.0294964938636753
fsu,p110,2042,1.0153352701555896
fsu,p110,2044,1.0074214796871983
fsu,p110,2046,1.0079632828100886
fsu,p110,2048,0.9675837817703932
fsu,p110,2050,1.0234270356260446
fsu,p111,2010,1.0
fsu,p111,2012,1.047313209506517
